flight_id,flight_number,flight_date,actual_flight_date,airline,status,delayed_flag,delay_int,total_passengers,baggage_weight,bike_bags,revenue_from_baggage,origin,destination,route_distance,ac_subtype,aircraft_manufacturer,fuel_efficiency,capacity,is_cancelled,is_delayed,month,day_of_week_num,day_of_week,rev_per_pax,rev_per_km,load_factor,fuel_efficiency_per_pax_km,avg_baggage_per_pax,passenger_density_per_km,bike_bag_pct
AAAA407,BA1723,2023-01-01,2023-01-01,BA,Completed,N,0.0,189,1764,23,31288,Nantes,London,732,332,Airbus,1.64350667,406.0,0,0,1.0,0.0,Sunday   ,165.54497354497354,42.743169398907106,0.46551724137931033,6.365327420317461,9.333333333333334,0.2581967213114754,12.16931216931217
AAAA809,BA1748,2023-01-01,2023-01-01,BA,Cancelled,,,113,1332,960,38353,London,Glasgow,717,332,Airbus,1.64350667,406.0,1,0,1.0,0.0,Sunday   ,339.4070796460177,53.490934449093444,0.27832512315270935,10.428267985752212,11.787610619469026,0.15760111576011157,849.5575221238939
AAAA111,BA1787,2023-01-01,2023-01-01,BA,Scheduled,,,116,2916,520,10559,Norwich,London,239,772,Boeing,0.02009067,220.0,0,0,1.0,0.0,Sunday   ,91.02586206896552,44.17991631799163,0.5272727272727272,0.041393708017241376,25.137931034482758,0.48535564853556484,448.27586206896547
AAAA480,BA2007,2023-01-01,2023-01-01,BA,Scheduled,,,97,4752,0,33644,London,Madrid,1460,332,Airbus,1.64350667,406.0,0,0,1.0,0.0,Sunday   ,346.8453608247423,23.043835616438358,0.23891625615763548,24.737316888659795,48.98969072164948,0.06643835616438357,0.0
AAAA595,BA2343,2023-01-01,2023-01-01,BA,Cancelled,,,107,3240,13,79313,Basel,London,560,,,,,1,0,1.0,0.0,Sunday   ,741.2429906542056,141.63035714285715,,,30.2803738317757,0.19107142857142856,12.149532710280374
AAAA501,BA545,2023-01-01,2023-01-01,BA,Cancelled,,,88,2430,0,46006,London,Tel Aviv,3311,73H,Boeing,0.03374483,440.0,1,0,1.0,0.0,Sunday   ,522.7954545454545,13.894895801872545,0.2,1.26964922875,27.613636363636363,0.026578073089700997,0.0
AAAA107,BA949,2023-01-01,2023-01-01,BA,Scheduled,,,62,0,27,7750,Bangkok,London,9207,E90,Embraer,0.03912337,380.0,0,0,1.0,0.0,Sunday   ,125.0,0.8417508417508418,0.1631578947368421,5.809820445,0.0,0.006734006734006734,43.54838709677419
AAAA483,BA1729,2023-01-02,2023-01-02,BA,Completed,N,0.0,62,0,640,15962,London,Aarhus,583,73W,Boeing,0.041417,189.0,0,0,1.0,1.0,Monday   ,257.4516129032258,27.37907375643225,0.328042328042328,0.38945340322580646,0.0,0.10634648370497427,1032.258064516129
AAAA380,BA2005,2023-01-02,2023-01-02,BA,Scheduled,,,180,2898,24,81671,London,Madrid,1460,E90,Embraer,0.03912337,380.0,0,0,1.0,1.0,Monday   ,453.72777777777776,55.93904109589041,0.47368421052631576,0.3173340011111111,16.1,0.1232876712328767,13.333333333333334
AAAA689,BA1388,2023-01-03,2023-01-03,BA,Scheduled,,,0,3294,0,43253,Trondheim,London,1289,E90,Embraer,0.03912337,380.0,0,0,1.0,2.0,Tuesday  ,,33.55546935608999,0.0,,,0.0,
AAAA829,BA1516,2023-01-03,2023-01-03,BA,Scheduled,,,120,1242,680,40262,London,Edinburgh,665,295,Boeing,0.04320443,400.0,0,0,1.0,2.0,Tuesday  ,335.51666666666665,60.54436090225564,0.3,0.23942454958333334,10.35,0.18045112781954886,566.6666666666667
AAAA979,BA1739,2023-01-03,2023-01-03,BA,Scheduled,,,135,3060,19,9653,Glasgow,London,717,E90,Embraer,0.03912337,380.0,0,0,1.0,2.0,Tuesday  ,71.5037037037037,13.463040446304044,0.35526315789473684,0.2077885651111111,22.666666666666668,0.18828451882845187,14.074074074074074
AAAA511,BA933,2023-01-03,2023-01-03,BA,Cancelled,,,1,3294,1000,45900,Port of Spain,London,0,73H,Boeing,0.03374483,440.0,1,0,1.0,2.0,Tuesday  ,45900.0,,0.0022727272727272726,,3294.0,,100000.0
